Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
RP-BL019 XPDS p3_RS-03139919_2,-0.185,-0.241,-0.558,-0.434,0.264,-0.457,-0.486,-0.225,-0.849,-0.402,0.075,0.006,-0.55,-0.186,-0.576,-0.635,-0.819,-0.758,-0.484,-0.366,-0.498,-0.509,-0.641,-0.356,NA,-0.434,NA,0.001,NA,-0.429,-0.372,-0.656,-0.466,-0.451,-0.764,-0.466,-0.013,-0.31,0.12,-0.13,-0.535,-1.006,-0.595,-0.477,-0.883,-0.7
RP-BL022 PDX p2_RS-03139912_2,-0.207,-0.062,-0.495,-0.56,-0.276,-0.292,0.064,-0.236,-0.542,-0.197,-0.293,-0.815,-0.543,-0.195,-1.558,-0.323,-0.504,-0.375,-0.187,-0.411,-0.646,-0.433,0.283,-0.127,NA,-0.345,NA,-0.756,NA,0.037,0.14,-0.012,-0.642,0.191,-0.371,-0.415,0.293,-0.695,-0.091,-0.274,-0.166,0.01,-0.106,0.049,-0.363,0.085
RP-BL022 SS_RS-03139908_2,-0.231,-0.253,-0.15,-0.183,-0.114,0.181,-0.056,0.075,0.086,0.258,-0.274,-0.402,-0.022,-0.033,-0.75,0.197,-0.105,-0.324,0.252,-0.47,-0.622,-0.178,0.526,-0.068,NA,0.154,NA,-0.735,NA,0.194,-0.147,-0.058,-0.463,-0.096,0.588,-0.016,0.078,-0.422,0.004,-0.235,0.314,0.192,-0.166,-0.193,-0.073,0.446
RP-BL022 XPDO p3_RS-03139916_2,-0.123,-0.099,-0.267,-0.652,-0.305,-0.353,-0.105,-0.41,-0.634,-0.101,-0.175,-0.786,-0.656,-0.242,-1.454,-0.407,-0.543,-0.252,-0.166,-0.416,-0.722,-0.27,-0.081,-0.108,NA,-0.452,NA,-0.743,NA,-0.235,0.229,-0.321,-0.554,0.105,-0.102,-0.831,0.337,-0.672,0.025,-0.133,-0.495,-0.277,-0.136,0.027,-0.877,-0.384
RP-BL022 XPDS p2_RS-03139915_2,-0.22,-0.187,-0.395,-0.697,-0.488,-0.412,-0.119,-0.318,-0.599,-0.189,-0.368,-0.829,-0.611,-0.302,-1.592,-0.554,-0.664,-0.454,-0.181,-0.595,-0.799,-0.526,-0.063,-0.209,NA,-0.461,NA,-0.866,NA,-0.286,0.072,-0.444,-0.688,0.077,-0.298,-0.722,0.165,-0.846,-0.055,-0.18,-0.497,-0.376,-0.271,-0.137,-0.674,-0.407
RP-BL040 PDX p2_RS-03365645_1,-0.473,-0.212,-0.465,-0.475,-0.199,0.006,-0.737,-0.758,-0.531,-0.136,-0.815,-0.301,-0.974,-0.048,-0.197,-0.141,0.36,0.071,-0.998,0.013,0.032,-0.399,-0.517,-0.378,NA,-0.733,NA,0.376,NA,-0.191,-1.063,0.365,-0.757,-0.445,-1.031,-0.222,-0.884,-0.62,-0.071,-0.561,-1.136,-0.596,-0.447,-0.235,-0.634,-0.461
RP-BL040 SS_RS-03365644_1,-0.304,-0.014,-0.179,-0.149,-0.268,-0.213,-0.202,-0.232,-0.073,0.028,0.344,-0.069,-0.392,-0.269,-0.092,-0.117,0.404,-0.153,-0.276,-0.34,-0.156,-0.289,-0.236,-0.332,NA,-0.232,NA,0.024,NA,-0.494,-0.581,-0.086,-0.52,-0.395,-0.486,-0.215,-0.388,-0.459,-0.326,-0.364,-0.911,-0.588,-0.755,-0.421,-0.319,-0.407
RP-BL050 PDX p2_RS-03365641_1,-0.195,-0.325,-0.382,-0.258,-0.486,-0.68,-0.216,-0.774,-0.632,-0.417,-0.486,-0.463,-0.71,-0.543,-0.302,-0.415,0.325,-0.251,-0.586,-0.019,-0.141,-0.147,-0.559,-0.24,NA,-0.551,NA,-0.163,NA,-0.715,-0.484,-0.087,-0.289,-0.649,-0.612,0.342,-1.184,-0.702,-0.424,-0.957,-0.309,-0.716,-0.274,-0.407,-1.023,-1.126
RP-BL050 SS_RS-03365640_1,-0.297,-0.27,-0.453,-0.26,-0.482,-0.364,-0.023,-0.255,-0.357,-0.112,-0.328,-0.138,-0.529,-0.157,-0.055,-0.129,0.2,-0.037,-0.345,-0.014,0.027,-0.144,-0.085,-0.267,NA,-0.254,NA,0.056,NA,-0.279,-0.211,0.069,0.181,-0.264,0.203,0.24,-0.202,-0.306,-0.353,-0.737,-0.585,-0.297,-0.219,-0.173,-0.292,-0.678
RP-BL051 PDX p2_RS-03365638_1,-0.363,-0.091,-0.363,-0.254,-0.648,-0.984,-0.588,-0.696,0.318,-0.575,0.217,-0.033,0.061,-0.572,-0.536,-0.427,-0.193,-0.113,-0.151,-0.328,0.136,-0.05,0.315,-0.253,NA,-0.222,NA,0.387,NA,-0.168,-0.861,-0.088,0.019,-0.133,-0.435,-0.123,-0.274,-0.694,0.544,0.179,-0.674,-0.079,-0.292,-0.184,-0.329,-0.835
RP-BL051 SS_RS-03365637_1,-0.153,-0.303,-0.233,-0.147,-0.696,-0.837,-0.408,-0.623,0.042,-0.688,0.287,-0.162,0.143,-0.113,-0.368,-0.331,-0.268,0.001,-0.13,-0.382,0.131,-0.116,0.193,-0.353,NA,-0.118,NA,0.199,NA,-0.233,-0.58,-0.07,-0.143,-0.066,-0.221,0.02,-0.098,0.071,0.164,0.006,-0.692,-0.134,-0.275,-0.098,-0.228,-0.593
RP-BL054 PDX p2_RS-03365650_1,-0.008,0.13,-0.141,-0.374,-0.319,-0.411,-0.449,-0.186,0.42,-0.198,-0.465,-0.453,-0.256,-0.424,-0.334,-0.126,-0.552,-0.637,-0.275,-0.059,-0.267,-0.393,-0.977,-0.155,NA,-0.681,NA,-0.341,NA,-0.105,-0.157,-0.595,-0.566,-0.404,-0.085,-0.069,-0.265,0.534,-1.165,-0.255,-0.489,-0.269,0.343,-0.004,0.62,-0.02
RP-BL054 SS_RS-03365649_1,-0.019,-0.119,-0.102,-0.187,-0.246,-0.327,-0.219,-0.126,0.237,-0.126,-0.224,-0.317,-0.254,-0.248,-0.287,-0.169,-0.591,-0.41,-0.014,-0.04,-0.043,-0.02,-0.692,-0.229,NA,-0.405,NA,-0.344,NA,-0.112,0.102,-0.389,-0.309,-0.318,-0.021,-0.225,-0.399,0.565,-0.438,-0.306,0.197,0.445,0.363,-0.001,0.386,-0.117
RP-BL054 XPDO p2_RS-03365651_1,-0.054,-0.226,-0.122,-0.543,-0.352,-0.442,-0.452,-0.332,0.189,-0.25,-0.444,-0.442,-0.54,-0.362,-0.536,-0.334,-0.473,-0.477,-0.248,-0.13,-0.358,-0.401,-1.305,-0.263,NA,-0.59,NA,-0.471,NA,-0.446,0.049,-1.102,-0.66,-0.375,-0.135,-0.384,-0.219,0.587,-0.661,-0.075,-0.472,0.125,0.33,-0.074,0.196,-0.539
RP-BL054 XPDS p2_RS-03365652_1,0.013,-0.157,-0.012,-0.258,-0.171,-0.287,-0.196,-0.068,0.089,0.0,-0.279,0.061,-0.309,-0.212,-0.078,-0.079,-0.575,-0.315,0.002,-0.025,-0.156,0.041,-0.714,-0.287,NA,-0.153,NA,-0.491,NA,-0.236,0.04,-0.595,-0.348,-0.438,-0.063,-0.333,-0.332,0.451,-0.399,-0.365,-0.649,-0.183,0.259,0.018,0.131,-0.471
