Gene,Chromosome,Arm,Start,End,Gene_Length
ANKRD65-AS1,1,p,1420245,1422691,2446
TMEM88B,1,p,1425871,1430255,4384
LINC01770,1,p,1430539,1434573,4034
VWA1,1,p,1434861,1442882,8021
ATAD3C,1,p,1449689,1470163,20474
ATAD3B,1,p,1471765,1497848,26083
ATAD3A,1,p,1512162,1534685,22523
TMEM240,1,p,1534778,1540624,5846
SSU72,1,p,1541673,1574863,33190
FNDC10,1,p,1598012,1600135,2123
MIB2,1,p,1615454,1630605,15151
MMP23B,1,p,1632163,1635263,3100
CDK11B,1,p,1635225,1659012,23787
SLC35E2B,1,p,1659529,1692795,33266
MMP23A,1,p,1699942,1701782,1840
CDK11A,1,p,1702379,1724357,21978
SLC35E2A,1,p,1734690,1739557,4867
NADK,1,p,1751232,1780457,29225
GNB1,1,p,1785285,1892292,107007
GNB1-DT,1,p,1891223,1892726,1503
CALML6,1,p,1915108,1917296,2188
TMEM52,1,p,1917590,1919279,1689
CFAP74,1,p,1921951,2003837,81886
GABRD,1,p,2019329,2030758,11429
PRKCZ-DT,1,p,2049203,2050070,867
PRKCZ,1,p,2050411,2185395,134984
PRKCZ-AS1,1,p,2181794,2184389,2595
FAAP20,1,p,2184461,2212720,28259
SKI,1,p,2227388,2310213,82825
MORN1,1,p,2321253,2391707,70454
RER1,1,p,2391775,2405442,13667
PEX10,1,p,2403964,2413797,9833
PLCH2,1,p,2425980,2505532,79552
PANK4,1,p,2508537,2526597,18060
HES5,1,p,2528745,2530263,1518
TNFRSF14-AS1,1,p,2549920,2557031,7111
TNFRSF14,1,p,2555639,2565382,9743
,1,p,2581560,2584533,2973
PRXL2B,1,p,2586491,2591469,4978
MMEL1,1,p,2590639,2633016,42377
MMEL1-AS1,1,p,2632568,2636620,4052
TTC34,1,p,2636986,2801693,164707
ACTRT2,1,p,3021467,3022903,1436
PRDM16-DT,1,p,3059611,3069091,9480
PRDM16,1,p,3069168,3438621,369453
MIR4251,1,p,3127975,3128035,60
ARHGEF16,1,p,3454665,3481113,26448
MEGF6,1,p,3487951,3611508,123557
MIR551A,1,p,3560695,3560790,95
TPRG1L,1,p,3625015,3630127,5112
WRAP73,1,p,3630767,3652761,21994
TP73,1,p,3652516,3736201,83685
TP73-AS3,1,p,3658938,3668772,9834
TP73-AS2,1,p,3712200,3714298,2098
TP73-AS1,1,p,3735511,3747373,11862
CCDC27,1,p,3746460,3771645,25185
SMIM1,1,p,3772749,3775982,3233
LRRC47,1,p,3778559,3796498,17939
RN7SL574P,1,p,3782815,3783111,296
CEP104,1,p,3812086,3857396,45310
DFFB,1,p,3857267,3885429,28162
C1orf174,1,p,3889125,3900293,11168
LINC01134,1,p,3900347,3917225,16878
LINC01346,1,p,3940486,3955262,14776
LINC01345,1,p,3944547,3949024,4477
LINC02780,1,p,3976133,4012704,36571
EEF1DP6,1,p,4175528,4175899,371
LINC01777,1,p,4412027,4424689,12662
LINC01646,1,p,4571481,4594016,22535
AJAP1,1,p,4654609,4792534,137925
LINC02781,1,p,4973381,4981568,8187
LINC02782,1,p,5086459,5090899,4440
MIR4689,1,p,5862672,5862741,69
NPHP4,1,p,5862811,5992473,129662
KCNAB2,1,p,5990927,6101193,110266
CHD5,1,p,6101787,6180321,78534
RPL22,1,p,6185020,6209389,24369
RNF207-AS1,1,p,6204840,6205780,940
RNF207,1,p,6205475,6221299,15824
ICMT,1,p,6221193,6235972,14779
ICMT-DT,1,p,6234692,6239444,4752
HES3,1,p,6244179,6245578,1399
GPR153,1,p,6247353,6261098,13745
ACOT7,1,p,6264269,6393767,129498
HES2,1,p,6412418,6424670,12252
ESPN,1,p,6424776,6461367,36591
MIR4252,1,p,6429834,6429896,62
TNFRSF25,1,p,6460786,6466175,5389
PLEKHG5,1,p,6467122,6520074,52952
NOL9,1,p,6521347,6554513,33166
RNU6-731P,1,p,6540854,6540964,110
TAS1R1,1,p,6555307,6579755,24448
ZBTB48,1,p,6579994,6589280,9286
KLHL21,1,p,6590724,6614607,23883
PHF13,1,p,6613731,6624030,10299
THAP3,1,p,6624868,6635586,10718
DNAJC11,1,p,6634168,6701924,67756
LINC01672,1,p,6724637,6730012,5375
CAMTA1-DT,1,p,6783892,6784843,951
CAMTA1,1,p,6785454,7769706,984252
RNU1-8P,1,p,7219360,7219524,164
CAMTA1-IT1,1,p,7368942,7370270,1328
CAMTA1-AS2,1,p,7382487,7389754,7267
CAMTA1-AS1,1,p,7441096,7441554,458
VAMP3,1,p,7771296,7781432,10136
PER3,1,p,7784291,7845177,60886
UTS2,1,p,7843083,7853512,10429
TNFRSF9,1,p,7915871,7943165,27294
PARK7,1,p,7954291,7985505,31214
ERRFI1,1,p,8004404,8026309,21905
ERRFI1-DT,1,p,8026738,8122702,95964
RPL7AP18,1,p,8057245,8058463,1218
LINC01714,1,p,8201518,8215210,13692
RNU1-7P,1,p,8206434,8206597,163
RNU6-991P,1,p,8292157,8292263,106
SLC45A1,1,p,8318114,8344167,26053
RERE,1,p,8352397,8848921,496524
RERE-AS1,1,p,8424645,8435013,10368
RPL7P11,1,p,8750430,8751087,657
RPL7P7,1,p,8786211,8786913,702
RPL23AP19,1,p,8831007,8831375,368
ENO1,1,p,8861000,8879190,18190
MIR6728,1,p,8866502,8866590,88
ENO1-AS1,1,p,8878835,8879894,1059
RNU6-304P,1,p,8883427,8883533,106
HMGN2P17,1,p,8893409,8894151,742
CA6,1,p,8945867,8975092,29225
RN7SL451P,1,p,8979576,8979874,298
SLC2A7,1,p,9002973,9026423,23450
SLC2A5,1,p,9035106,9088478,53372
GPR157,1,p,9100305,9129102,28797
MIR34AHG,1,p,9148011,9198906,50895
MIR34A,1,p,9151668,9151777,109
LNCTAM34A,1,p,9182004,9196284,14280
H6PD,1,p,9234774,9271337,36563
SPSB1,1,p,9292894,9369532,76638
LINC02606,1,p,9425094,9440564,15470
RNA5SP40,1,p,9437669,9437778,109
SLC25A33,1,p,9539465,9585173,45708
TMEM201,1,p,9588911,9614877,25966
PIK3CD,1,p,9629889,9729114,99225
PIK3CD-AS1,1,p,9652610,9654586,1976
PIK3CD-AS2,1,p,9672405,9687583,15178
CLSTN1,1,p,9728926,9823984,95058
MZT1P1,1,p,9780822,9781240,418
CTNNBIP1,1,p,9848276,9910336,62060
LZIC,1,p,9922113,9943407,21294
NMNAT1,1,p,9943428,9985501,42073
RN7SKP269,1,p,9947318,9947636,318
TMEM274P,1,p,9950572,9960787,10215
MIR5697,1,p,9967381,9967458,77
RBP7,1,p,9997206,10016021,18815
UBE4B,1,p,10032832,10181239,148407
PGAM1P11,1,p,10058671,10059648,977
RNU6-828P,1,p,10163268,10163374,106
KIF1B,1,p,10210570,10381603,171033
RNU6-37P,1,p,10298966,10299072,106
RN7SL731P,1,p,10306465,10306757,292
PGD,1,p,10398592,10420511,21919
CENPS-CORT,1,p,10430102,10452153,22051
CENPS,1,p,10430433,10442808,12375
CORT,1,p,10450031,10451998,1967
DFFA,1,p,10456522,10472529,16007
PEX14,1,p,10472288,10630758,158470
RN7SL614P,1,p,10616836,10617115,279
CASZ1,1,p,10636604,10796650,160046
HSPE1P24,1,p,10895761,10895998,237
C1orf127,1,p,10946471,10982076,35605
CFL1P6,1,p,10990978,10991797,819
TARDBP,1,p,11012344,11030528,18184
MASP2,1,p,11022009,11047239,25230
SRM,1,p,11054584,11060020,5436
EXOSC10,1,p,11066618,11099869,33251
EXOSC10-AS1,1,p,11099430,11102105,2675
MTOR,1,p,11106535,11262556,156021
MTOR-AS1,1,p,11143898,11149537,5639
RNU6-537P,1,p,11152350,11152452,102
ANGPTL7,1,p,11189355,11195981,6626
RNU6-291P,1,p,11226254,11226360,106
RPL39P6,1,p,11232963,11233112,149
UBIAD1,1,p,11273198,11296049,22851
UBE2V2P3,1,p,11278616,11279351,735
MTCYBP45,1,p,11425257,11425821,564
DISP3,1,p,11479155,11537551,58396
LINC01647,1,p,11609468,11613358,3890
FBXO2,1,p,11637018,11655785,18767
FBXO44,1,p,11654375,11663327,8952
MAD2L2,1,p,11658918,11691811,32893
FBXO6,1,p,11664200,11674354,10154
DRAXIN,1,p,11691710,11725857,34147
AGTRAP,1,p,11736084,11754802,18718
C1orf167,1,p,11761787,11789585,27798
C1orf167-AS1,1,p,11777077,11779619,2542
MTHFR,1,p,11785723,11806455,20732
CLCN6,1,p,11806096,11848079,41983
NPPA,1,p,11845709,11848345,2636
NPPB,1,p,11857464,11858945,1481
SBF1P2,1,p,11877770,11880406,2636
RNU5E-1,1,p,11908152,11908271,119
RNU5E-4P,1,p,11909808,11909927,119
KIAA2013,1,p,11919591,11926428,6837
PLOD1,1,p,11934205,11975538,41333
MFN2,1,p,11980181,12015211,35030
MIIP,1,p,12019466,12032045,12579
MIR6729,1,p,12029158,12029222,64
RN7SL649P,1,p,12036740,12037014,274
TNFRSF8,1,p,12063303,12144207,80904
RNU6-777P,1,p,12077881,12077984,103
RPL23AP89,1,p,12080293,12080547,254
MIR7846,1,p,12166943,12167038,95
TNFRSF1B,1,p,12166991,12209228,42237
MIR4632,1,p,12191713,12191773,60
RPL10P17,1,p,12220794,12221109,315
VPS13D,1,p,12230030,12512047,282017
SNORA59A,1,p,12507246,12507397,151
LINC02766,1,p,12525716,12530691,4975
DHRS3,1,p,12567910,12618210,50300
RNU6ATAC18P,1,p,12569972,12570072,100
MIR6730,1,p,12578957,12579023,66
AADACL4,1,p,12644085,12667076,22991
AADACL3,1,p,12716110,12728760,12650
CFAP107,1,p,12746200,12763699,17499
PRAMEF12,1,p,12773738,12777906,4168
PRAMEF1,1,p,12791397,12796628,5231
LINC01784,1,p,12822686,12823159,473
PRAMEF11,1,p,12824605,12831410,6805
PRAMEF30P,1,p,12838125,12841357,3232
HNRNPCL1,1,p,12847377,12848720,1343
PRAMEF2,1,p,12857086,12861909,4823
PRAMEF4,1,p,12879212,12886201,6989
PRAMEF10,1,p,12892896,12898270,5374
PRAMEF7,1,p,12916610,12920751,4141
RNU6-1072P,1,p,12922554,12922660,106
PRAMEF29P,1,p,12926162,12928253,2091
PRAMEF6,1,p,12938472,12947580,9108
PRAMEF28P,1,p,13029339,13032130,2791
PRAMEF27,1,p,13049476,13056575,7099
HNRNPCL3,1,p,13060769,13062878,2109
PRAMEF25,1,p,13068677,13077884,9207
PRAMEF34P,1,p,13095179,13097971,2792
PRAMEF35P,1,p,13104403,13105689,1286
HNRNPCL2,1,p,13115488,13116854,1366
PRAMEF36P,1,p,13128818,13131615,2797
PRAMEF26,1,p,13148905,13158116,9211
HNRNPCL4,1,p,13163914,13165631,1717
PRAMEF9,1,p,13171848,13179459,7611
PRAMEF13,1,p,13196188,13201409,5221
PRAMEF18,1,p,13222695,13226154,3459
PRAMEF31P,1,p,13245863,13248652,2789
PRAMEF5,1,p,13254198,13263435,9237
PRAMEF32P,1,p,13273539,13275627,2088
RNU6-771P,1,p,13279125,13279231,106
PRAMEF8,1,p,13281304,13285137,3833
PRAMEF33,1,p,13303539,13308907,5368
PRAMEF15,1,p,13315581,13322598,7017
PRAMEF14,1,p,13341892,13347134,5242
PRAMEF19,1,p,13368431,13371947,3516
PRAMEF17,1,p,13389632,13392629,2997
PRAMEF20,1,p,13410450,13421328,10878
LRRC38,1,p,13474973,13514003,39030
BRWD1P1,1,p,13555001,13555694,693
PDPN,1,p,13583465,13617957,34492
RNA5SP41,1,p,13623184,13623284,100
PRDM2,1,p,13700188,13825079,124891
KAZN,1,p,13892792,15118043,1225251
RNU6-1265P,1,p,14124233,14124335,102
KAZN-AS1,1,p,14338825,14419973,81148
TBCAP2,1,p,14692129,14692613,484
TMEM51-AS1,1,p,15111815,15153618,41803
TMEM51,1,p,15152532,15220478,67946
TMEM51-AS2,1,p,15164344,15171317,6973
MFFP1,1,p,15191828,15192845,1017
ZBTB2P1,1,p,15226373,15227549,1176
FHAD1,1,p,15236521,15400283,163762
FHAD1-AS1,1,p,15326680,15343876,17196
EFHD2-AS1,1,p,15402979,15409433,6454
EFHD2,1,p,15409888,15430339,20451
CTRC,1,p,15438442,15449242,10800
CELA2A,1,p,15456728,15472091,15363
CELA2B,1,p,15465909,15491395,25486
CASP9,1,p,15490832,15526534,35702
DNAJC16,1,p,15526813,15592379,65566
SCARNA21B,1,p,15542165,15542304,139
AGMAT,1,p,15571699,15585051,13352
CHCHD2P6,1,p,15604597,15605043,446
RNU7-179P,1,p,15608078,15608145,67
CD24P1,1,p,15614643,15614867,224
DDI2,1,p,15617458,15669044,51586
RSC1A1,1,p,15659713,15662033,2320
PLEKHM2,1,p,15684320,15734769,50449
SLC25A34,1,p,15736258,15741392,5134
SLC25A34-AS1,1,p,15740048,15749896,9848
TMEM82,1,p,15742499,15747982,5483
FBLIM1,1,p,15756607,15786594,29987
RPL12P14,1,p,15792796,15793285,489
UQCRHL,1,p,15807169,15809348,2179
SPEN-AS1,1,p,15834474,15848147,13673
SPEN,1,p,15836095,15940456,104361
ZBTB17,1,p,15941869,15976132,34263
TBC1D3P6,1,p,15989871,15994751,4880
SRARP,1,p,16004236,16008807,4571
HSPB7,1,p,16014028,16019594,5566
CLCNKA,1,p,16018875,16034050,15175
FAM131C2P,1,p,16035178,16040029,4851
CLCNKB,1,p,16040252,16057311,17059
FAM131C,1,p,16057769,16073651,15882
EPHA2,1,p,16124337,16156069,31732
EPHA2-AS1,1,p,16155176,16158148,2972
ARHGEF19-AS1,1,p,16197854,16198357,503
ARHGEF19,1,p,16197854,16212652,14798
ANO7L1,1,p,16216469,16228027,11558
CPLANE2,1,p,16231692,16237183,5491
MT1XP1,1,p,16241213,16241398,185
FBXO42,1,p,16246840,16352480,105640
SZRD1,1,p,16352575,16398145,45570
RPL22P3,1,p,16369150,16369530,380
SPATA21,1,p,16387117,16437424,50307
NECAP2,1,p,16440721,16460078,19357
LINC01772,1,p,16460948,16468481,7533
CROCCP3,1,p,16474396,16491307,16911
RNU1-1,1,p,16514122,16514285,163
LINC01783,1,p,16533886,16535649,1763
RNU1-6P,1,p,16534081,16534224,143
PDE4DIPP8,1,p,16548651,16552531,3880
NBPF1,1,p,16562319,16613562,51243
CROCCP2,1,p,16618969,16657232,38263
MST1P2,1,p,16645622,16650289,4667
RNU1-3,1,p,16666785,16666948,163
EIF1AXP1,1,p,16685621,16686055,434
ESPNP,1,p,16692280,16720157,27877
CROCC,1,p,16740273,16972964,232691
RNU1-4,1,p,16740516,16740679,163
CROCCP4,1,p,16750233,16750964,731
MST1L,1,p,16757232,16764480,7248
PDE4DIPP9,1,p,16855407,16859284,3877
MIR3675,1,p,16858949,16859021,72
RNU1-5P,1,p,16873708,16873851,143
RNU1-2,1,p,16895980,16896143,163
MFAP2,1,p,16974502,16980632,6130
ATP13A2,1,p,16985958,17011928,25970
SDHB,1,p,17018722,17054032,35310
PADI2,1,p,17066761,17119451,52690
LINC02783,1,p,17189783,17197617,7834
PADI1,1,p,17205128,17246007,40879
PADI3,1,p,17249098,17284233,35135
MIR3972,1,p,17277889,17277975,86
PADI4,1,p,17308195,17364004,55809
PADI6,1,p,17372196,17401699,29503
RCC2,1,p,17406760,17439677,32917
RCC2-AS1,1,p,17406760,17407382,622
ARHGEF10L,1,p,17539698,17697874,158176
LINC02810,1,p,17717625,17749978,32353
ACTL8,1,p,17755333,17827063,71730
LINC01654,1,p,18065657,18074412,8755
IGSF21,1,p,18107798,18378483,270685
IGSF21-AS1,1,p,18166929,18179346,12417
KLHDC7A,1,p,18480930,18485974,5044
DYNLL1P3,1,p,18513118,18513383,265
PAX7,1,p,18630846,18748866,118020
TAS1R2,1,p,18839599,18859660,20061
ALDH4A1,1,p,18871430,18902724,31294
MIR4695,1,p,18883202,18883275,73
MIR1290,1,p,18897071,18897148,77
IFFO2,1,p,18904280,18956676,52396
UBR4,1,p,19074510,19210266,135756
EMC1-AS1,1,p,19210348,19240709,30361
EMC1,1,p,19215660,19251552,35892
MRTO4,1,p,19251805,19260128,8323
AKR7L,1,p,19265982,19274194,8212
AKR7A3,1,p,19282573,19288770,6197
AKR7A2,1,p,19303965,19312144,8179
RNU6-1099P,1,p,19305076,19305182,106
SLC66A1,1,p,19312326,19329300,16974
CAPZB,1,p,19338775,19485539,146764
RN7SL277P,1,p,19424384,19424671,287
MICOS10,1,p,19484403,19629821,145418
RNU4-28P,1,p,19510593,19510733,140
MICOS10-DT,1,p,19591802,19596832,5030
NBL1,1,p,19596979,19658456,61477
MICOS10-NBL1,1,p,19597067,19656927,59860
HTR6,1,p,19664875,19680966,16091
TMCO4,1,p,19682240,19799945,117705
RNF186,1,p,19814029,19815283,1254
RNF186-AS1,1,p,19814367,19819502,5135
OTUD3,1,p,19882395,19912945,30550
PLA2G2E,1,p,19920009,19923617,3608
RN7SL304P,1,p,19970969,19971269,300
PLA2G2A,1,p,19975431,19980416,4985
PLA2G5,1,p,20028179,20091911,63732
PLA2G2D,1,p,20111939,20119566,7627
PLA2G2F,1,p,20139323,20150381,11058
PLA2G2C,1,p,20161253,20186518,25265
UBXN10,1,p,20186096,20196050,9954
LINC01757,1,p,20243095,20244664,1569
VWA5B1,1,p,20290875,20359518,68643
LINC01141,1,p,20360579,20431234,70655
CAMK2N1,1,p,20482391,20486210,3819
MUL1,1,p,20499448,20508151,8703
RPS4XP4,1,p,20525989,20526751,762
FAM43B,1,p,20552573,20555020,2447
CDA,1,p,20589086,20618903,29817
PINK1,1,p,20633458,20651511,18053
MIR6084,1,p,20633679,20633788,109
PINK1-AS,1,p,20642657,20652193,9536
DDOST,1,p,20651767,20661544,9777
KIF17,1,p,20664014,20718017,54003
SH2D5,1,p,20719731,20732837,13106
HP1BP3,1,p,20740266,20787323,47057
EIF4G3,1,p,20806292,21177285,370993
RNU7-200P,1,p,20841241,20841302,61
MIR1256,1,p,20988314,20988432,118
RPS15AP6,1,p,21003550,21003934,384
HSPE1P27,1,p,21161475,21162081,606
ECE1,1,p,21217247,21345572,128325
ECE1-AS1,1,p,21293290,21299874,6584
PPP1R11P1,1,p,21397987,21398362,375
PDE4DIPP10,1,p,21411460,21413293,1833
NBPF2P,1,p,21424625,21427967,3342
HS6ST1P1,1,p,21428303,21429536,1233
CROCCP5,1,p,21434318,21437558,3240
NBPF3,1,p,21440128,21485005,44877
PFN1P10,1,p,21459756,21460082,326
ALPL,1,p,21509397,21578410,69013
LINC02596,1,p,21586472,21591187,4715
RAP1GAP,1,p,21596221,21669357,73136
USP48,1,p,21678298,21783606,105308
LDLRAD2,1,p,21812265,21825225,12960
HSPG2,1,p,21822244,21937310,115066
CELA3B,1,p,21977022,21998642,21620
RN7SL386P,1,p,21987481,21987777,296
RNU6-1022P,1,p,21987816,21987919,103
CELA3A,1,p,22001657,22012542,10885
RN7SL186P,1,p,22010650,22010946,296
RNU6-776P,1,p,22010985,22011088,103
LINC01635,1,p,22023990,22026048,2058
LINC00339,1,p,22024558,22031223,6665
CDC42-AS1,1,p,22028317,22052927,24610
CDC42,1,p,22052627,22101360,48733
CDC42-IT1,1,p,22059197,22064199,5002
MPHOSPH6P1,1,p,22068340,22068827,487
WNT4,1,p,22117313,22143969,26656
MIR4418,1,p,22266239,22266300,61
PPIAP34,1,p,22322840,22323331,491
ZBTB40,1,p,22428838,22531157,102319
ZBTB40-IT1,1,p,22517474,22519708,2234
EPHA8,1,p,22563489,22603595,40106
MIR6127,1,p,22633258,22633366,108
C1QA,1,p,22635077,22639678,4601
C1QC,1,p,22643014,22648110,5096
C1QB,1,p,22652762,22661637,8875
EPHB2,1,p,22710839,22921500,210661
MIR4684,1,p,22719517,22719598,81
MIR4253,1,p,22863159,22863226,67
LACTBL1,1,p,22953043,22972866,19823
TEX46,1,p,23010834,23019100,8266
KDM1A,1,p,23019443,23083689,64246
MIR3115,1,p,23044305,23044372,67
LUZP1,1,p,23084030,23177808,93778
RNU6-514P,1,p,23162704,23162810,106
RNU6-135P,1,p,23163953,23164053,100
HTR1D,1,p,23191895,23217502,25607
LINC01355,1,p,23281307,23287488,6181
HNRNPR,1,p,23303771,23344336,40565
ZNF436,1,p,23359448,23369836,10388
ZNF436-AS1,1,p,23368939,23371839,2900
TCEA3,1,p,23380909,23424748,43839
ASAP3,1,p,23428563,23484568,56005
E2F2,1,p,23506438,23531233,24795
ID3,1,p,23557926,23559501,1575
MDS2,1,p,23581495,23640568,59073
EEF1A1P48,1,p,23670294,23680259,9965
RPL11,1,p,23691742,23696835,5093
ELOA-AS1,1,p,23706901,23778325,71424
ELOA,1,p,23743448,23762059,18611
PITHD1,1,p,23778418,23788232,9814
LYPLA2,1,p,23791145,23795539,4394
GALE,1,p,23795599,23800781,5182
HMGCL,1,p,23801885,23838620,36735
FUCA1,1,p,23845077,23868290,23213
CNR2,1,p,23870515,23913362,42847
BTBD6P1,1,p,23901471,23902737,1266
MIR378F,1,p,23929070,23929147,77
H3P1,1,p,23949016,23949383,367
PNRC2,1,p,23956839,23963462,6623
SRSF10,1,p,23964347,23980927,16580
RPL36P5,1,p,24007881,24008519,638
MYOM3,1,p,24056035,24112135,56100
MYOM3-AS1,1,p,24066774,24083565,16791
IL22RA1,1,p,24119771,24143140,23369
IFNLR1,1,p,24154168,24187959,33791
GRHL3,1,p,24199558,24364482,164924
LINC02800,1,p,24200240,24211693,11453
GRHL3-AS1,1,p,24307556,24321901,14345
STPG1,1,p,24356999,24416934,59935
NIPAL3,1,p,24415802,24472976,57174
RCAN3AS,1,p,24496254,24535400,39146
RCAN3,1,p,24502351,24541040,38689
NCMAP-DT,1,p,24538802,24556024,17222
NCMAP,1,p,24556087,24609328,53241
SRRM1,1,p,24631716,24673281,41565
CLIC4,1,p,24745382,24844321,98939
RNU6-1208P,1,p,24777873,24777979,106
RUNX3,1,p,24899511,24965121,65610
MIR6731,1,p,24919345,24919416,71
RUNX3-AS1,1,p,24961345,24963097,1752
MIR4425,1,p,25023503,25023586,83
LINC02793,1,p,25041136,25047404,6268
IFITM3P7,1,p,25125053,25125454,401
SYF2,1,p,25222276,25232502,10226
RSRP1,1,p,25242249,25338213,95964
RHD,1,p,25272393,25330445,58052
SDHDP6,1,p,25294164,25294643,479
TMEM50A,1,p,25338317,25362361,24044
RHCE,1,p,25362249,25430192,67943
MACO1,1,p,25430858,25500209,69351
LDLRAP1,1,p,25543606,25568886,25280
MAN1C1,1,p,25616791,25786206,169415
SELENON,1,p,25800193,25818221,18028
MTFR1L,1,p,25818640,25832942,14302
AUNIP,1,p,25831913,25859458,27545
PAQR7,1,p,25861484,25875708,14224
STMN1,1,p,25884181,25906991,22810
SNRPFP2,1,p,25887360,25887610,250
MIR3917,1,p,25906362,25906454,92
PAFAH2,1,p,25959767,25998117,38350
RNU6-110P,1,p,25964197,25964300,103
EXTL1,1,p,26019884,26036464,16580
SLC30A2,1,p,26037252,26046118,8866
TRIM63,1,p,26051301,26068436,17135
PDIK1L,1,p,26111165,26125555,14390
FAM110D,1,p,26159079,26163962,4883
C1orf232,1,p,26164101,26168963,4862
ZNF593OS,1,p,26169516,26171832,2316
ZNF593,1,p,26169908,26170873,965
CNKSR1,1,p,26177484,26189884,12400
CATSPER4,1,p,26190561,26202968,12407
ZPLD2P,1,p,26209741,26229844,20103
CEP85,1,p,26234200,26278808,44608
SH3BGRL3,1,p,26280086,26281522,1436
UBXN11,1,p,26281328,26318363,37035
CD52,1,p,26317958,26320523,2565
CRYBG2,1,p,26321698,26360080,38382
ZNF683,1,p,26361634,26374522,12888
LIN28A,1,p,26410817,26429728,18911
DHDDS,1,p,26432282,26471306,39024
DHDDS-AS1,1,p,26462756,26468014,5258
HMGN2,1,p,26472440,26476642,4202
DPPA2P2,1,p,26519354,26520250,896
RPS6KA1,1,p,26529761,26575030,45269
MIR1976,1,p,26554542,26554593,51
RN7SL679P,1,p,26593243,26593546,303
RNU7-29P,1,p,26602369,26602432,63
ARID1A,1,p,26693236,26782104,88868
PIGV,1,p,26787054,26800659,13605
RN7SL165P,1,p,26814822,26815112,290
ZDHHC18,1,p,26826688,26857604,30916
SFN,1,p,26863149,26864456,1307
GPN2,1,p,26876132,26890283,14151
GPATCH3,1,p,26890488,26900467,9979
NUDC,1,p,26900238,26946871,46633
NR0B2,1,p,26911489,26913975,2486
KDF1,1,p,26949562,26960468,10906
RPL12P13,1,p,26980165,26980975,810
RPL32P6,1,p,26983628,26984024,396
OSTCP2,1,p,26985897,26986340,443
TRNP1,1,p,26993692,27000886,7194
TENT5B,1,p,27005020,27012850,7830
SLC9A1,1,p,27098809,27166981,68172
CHCHD3P3,1,p,27200834,27201473,639
NPM1P39,1,p,27206930,27207796,866
SNRPEP7,1,p,27211265,27211484,219
